Age,WorkClass,education,marritalStatus,Race,Gender,workhours,Incomebracket
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Assoc-voc',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' Masters',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' 9th',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Doctorate',' Divorced',' White',' Female',61_79,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Private',' Doctorate',' Married-spouse-absent',' Other',' Male',61_79,' >50K.'
55_66,' Private',' Prof-school',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Private',' Doctorate',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Female',41_60,' >50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Divorced',' White',' Female',41_60,' >50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' White',' Female',41_60,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
0_29,' Private',' Bachelors',' Never-married',' White',' Male',22_40,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' Masters',' Never-married',' White',' Female',22_40,' >50K.'
55_66,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Local-gov',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
67_78,' Private',' Some-college',' Married-civ-spouse',' White',' Male',0_21,' >50K.'
67_78,' Self-emp-inc',' Assoc-acdm',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Local-gov',' HS-grad',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Local-gov',' HS-grad',' Married-spouse-absent',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Private',' Assoc-acdm',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' Bachelors',' Married-civ-spouse',' White',' Female',41_60,' >50K.'
55_66,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' State-gov',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Federal-gov',' Assoc-acdm',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
42_54,' State-gov',' Assoc-voc',' Married-civ-spouse',' White',' Male',0_21,' >50K.'
55_66,' Self-emp-inc',' 7th-8th',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-inc',' Assoc-voc',' Divorced',' White',' Female',80_max,' >50K.'
42_54,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
0_29,' Private',' Masters',' Never-married',' White',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Divorced',' White',' Male',41_60,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
42_54,' Federal-gov',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-inc',' Some-college',' Married-civ-spouse',' Black',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Black',' Male',22_40,' >50K.'
30_41,' Private',' 7th-8th',' Married-civ-spouse',' Black',' Male',22_40,' >50K.'
0_29,' State-gov',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
55_66,' Private',' Prof-school',' Married-spouse-absent',' White',' Male',41_60,' >50K.'
42_54,' Private',' Masters',' Never-married',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
42_54,' Private',' Some-college',' Never-married',' Other',' Male',61_79,' >50K.'
30_41,' Federal-gov',' Masters',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Private',' Masters',' Never-married',' Asian-Pac-Islander',' Male',61_79,' >50K.'
30_41,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' State-gov',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' State-gov',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Married-spouse-absent',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Federal-gov',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
55_66,' State-gov',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Never-married',' Other',' Female',22_40,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
42_54,' Private',' Doctorate',' Divorced',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Assoc-voc',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Local-gov',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' State-gov',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-spouse-absent',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Some-college',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
0_29,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Other',' Male',61_79,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Never-married',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
0_29,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Private',' Bachelors',' Married-spouse-absent',' White',' Male',22_40,' >50K.'
55_66,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Never-married',' White',' Female',22_40,' >50K.'
55_66,' Self-emp-inc',' Masters',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
67_78,' Self-emp-inc',' Masters',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
30_41,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' Assoc-voc',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' 7th-8th',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Local-gov',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Federal-gov',' HS-grad',' Married-civ-spouse',' Black',' Male',41_60,' >50K.'
30_41,' Local-gov',' Some-college',' Married-civ-spouse',' Black',' Male',22_40,' >50K.'
42_54,' Local-gov',' HS-grad',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
55_66,' Local-gov',' Bachelors',' Separated',' Black',' Female',22_40,' >50K.'
42_54,' Self-emp-inc',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Other',' Male',41_60,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' 7th-8th',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' 5th-6th',' Married-civ-spouse',' Other',' Male',41_60,' >50K.'
0_29,' Local-gov',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' HS-grad',' Divorced',' White',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
42_54,' Private',' 5th-6th',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Local-gov',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' 5th-6th',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
42_54,' Private',' Masters',' Divorced',' Other',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Federal-gov',' Bachelors',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
55_66,' Local-gov',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Male',80_max,' >50K.'
55_66,' Federal-gov',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
30_41,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
30_41,' Private',' Bachelors',' Married-AF-spouse',' Asian-Pac-Islander',' Female',61_79,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' State-gov',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Federal-gov',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Local-gov',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Federal-gov',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Federal-gov',' Some-college',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
0_29,' Private',' 11th',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Federal-gov',' Assoc-acdm',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
55_66,' Private',' Some-college',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
0_29,' Private',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
42_54,' Private',' 5th-6th',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' State-gov',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
42_54,' State-gov',' Assoc-voc',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
0_29,' Private',' Masters',' Never-married',' Asian-Pac-Islander',' Female',22_40,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Federal-gov',' Masters',' Never-married',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' State-gov',' Assoc-voc',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' 11th',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Private',' 1st-4th',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Self-emp-not-inc',' 10th',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
0_29,' Private',' HS-grad',' Never-married',' White',' Male',41_60,' >50K.'
0_29,' Private',' 7th-8th',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' 5th-6th',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' Black',' Male',41_60,' >50K.'
0_29,' Private',' Some-college',' Married-civ-spouse',' Other',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Never-married',' White',' Male',22_40,' >50K.'
30_41,' Federal-gov',' Some-college',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Local-gov',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Local-gov',' Assoc-acdm',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
30_41,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
0_29,' Private',' Bachelors',' Never-married',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Private',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' State-gov',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-inc',' HS-grad',' Married-spouse-absent',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' Doctorate',' Never-married',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' Prof-school',' Never-married',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' 10th',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Local-gov',' Assoc-acdm',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-inc',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' Assoc-voc',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
0_29,' Private',' 11th',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' 10th',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' White',' Female',80_max,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Divorced',' White',' Female',80_max,' >50K.'
30_41,' State-gov',' Some-college',' Divorced',' White',' Female',80_max,' >50K.'
42_54,' Self-emp-inc',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Private',' Doctorate',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' White',' Female',80_max,' >50K.'
55_66,' Private',' Some-college',' Married-spouse-absent',' Asian-Pac-Islander',' Female',80_max,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Private',' Some-college',' Never-married',' White',' Male',80_max,' >50K.'
67_78,' Self-emp-inc',' HS-grad',' Widowed',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-inc',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
55_66,' Self-emp-inc',' Prof-school',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
55_66,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-inc',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' 5th-6th',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
67_78,' Self-emp-not-inc',' 11th',' Widowed',' White',' Female',80_max,' >50K.'
42_54,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' Prof-school',' Divorced',' White',' Male',80_max,' >50K.'
55_66,' Self-emp-inc',' Doctorate',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
42_54,' Private',' Masters',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-not-inc',' Assoc-voc',' Divorced',' White',' Male',80_max,' >50K.'
30_41,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
30_41,' Private',' Assoc-acdm',' Never-married',' White',' Male',80_max,' >50K.'
