@relation proj2master-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R1-precision6

@attribute Age {'\'(-inf-29.166667]\'','\'(29.166667-41.333333]\'','\'(41.333333-53.5]\'','\'(53.5-65.666667]\'','\'(65.666667-77.833333]\'','\'(77.833333-inf)\''}
@attribute WorkClass {' Private',' Self-emp-not-inc',' Self-emp-inc',' Local-gov',' Federal-gov',' State-gov',' Without-pay'}
@attribute education {' 11th',' Bachelors',' Some-college',' Assoc-voc',' Doctorate',' Masters',' HS-grad',' Prof-school',' Assoc-acdm',' 5th-6th',' 9th',' 7th-8th',' 1st-4th',' 10th',' 12th',' Preschool'}
@attribute marritalStatus {' Never-married',' Married-civ-spouse',' Divorced',' Separated',' Married-spouse-absent',' Married-AF-spouse',' Widowed'}
@attribute Job {' Machine-op-inspct',' Sales',' Craft-repair',' Prof-specialty',' Exec-managerial',' Adm-clerical',' Tech-support',' Other-service',' Protective-serv',' Transport-moving',' Handlers-cleaners',' Farming-fishing',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Own-child',' Not-in-family',' Husband',' Unmarried',' Wife',' Other-relative'}
@attribute Race {' Black',' Asian-Pac-Islander',' White',' Other',' Amer-Indian-Eskimo'}
@attribute Gender {' Male',' Female'}
@attribute workhours numeric
@attribute CountryOrigin {' United-States',' Cambodia',' Canada',' China',' Columbia',' Cuba',' Dominican-Republic',' Ecuador',' El-Salvador',' England',' France',' Germany',' Greece',' Haiti',' Honduras',' Hong',' Hungary',' India',' Iran',' Ireland',' Italy',' Jamaica',' Japan',' Mexico',' Nicaragua',' Outlying-US(Guam-USVI-etc)',' Peru',' Philippines',' Poland',' Portugal',' Puerto-Rico',' South',' Taiwan',' Thailand',' Vietnam',' Yugoslavia',' Guatemala',' Laos',' Scotland',' Trinadad&Tobago'}
@attribute Incomebracket {' <=50K.',' >50K.'}

@data
'\'(41.333333-53.5]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',60,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Doctorate',' Married-spouse-absent',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Male',60,' China',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',60,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',60,' China',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',50,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Tech-support',' Husband',' Asian-Pac-Islander',' Male',45,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',45,' China',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' 5th-6th',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',40,' China',' >50K.'
'\'(53.5-65.666667]\'',' Federal-gov',' Masters',' Married-civ-spouse',' Tech-support',' Husband',' Asian-Pac-Islander',' Male',40,' China',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Adm-clerical',' Husband',' Asian-Pac-Islander',' Male',40,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' China',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Wife',' Asian-Pac-Islander',' Female',40,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Unmarried',' Asian-Pac-Islander',' Female',40,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-spouse-absent',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Female',40,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',35,' China',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',80,' Columbia',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',45,' Columbia',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Masters',' Divorced',' Prof-specialty',' Not-in-family',' White',' Male',60,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',60,' Cuba',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',50,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Assoc-voc',' Divorced',' Craft-repair',' Not-in-family',' White',' Male',40,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',40,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Cuba',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',35,' Cuba',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',31,' Cuba',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Dominican-Republic',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' Dominican-Republic',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Sales',' Husband',' White',' Male',40,' Dominican-Republic',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',55,' Ecuador',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',37,' Ecuador',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',41,' El-Salvador',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' 9th',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',32,' El-Salvador',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Doctorate',' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',60,' England',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',60,' England',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Doctorate',' Married-spouse-absent',' Prof-specialty',' Not-in-family',' Other',' Male',60,' England',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Prof-school',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',55,' England',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',55,' England',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',55,' England',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',50,' England',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Sales',' Wife',' White',' Female',50,' England',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',50,' England',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',50,' England',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',45,' England',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',45,' England',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',45,' England',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' England',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Never-married',' Tech-support',' Not-in-family',' White',' Male',40,' England',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' England',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',40,' England',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40,' France',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' France',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Tech-support',' Husband',' Other',' Male',40,' France',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',15,' France',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Assoc-acdm',' Married-civ-spouse',' Sales',' Husband',' White',' Male',70,' Germany',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',70,' Germany',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' HS-grad',' Married-spouse-absent',' Protective-serv',' Not-in-family',' White',' Male',69,' Germany',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',60,' Germany',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',55,' Germany',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',48,' Germany',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Protective-serv',' Wife',' White',' Female',45,' Germany',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' Germany',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Germany',' >50K.'
'\'(29.166667-41.333333]\'',' State-gov',' Bachelors',' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',40,' Germany',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',40,' Germany',' >50K.'
'\'(41.333333-53.5]\'',' Federal-gov',' Assoc-acdm',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Germany',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',40,' Germany',' >50K.'
'\'(41.333333-53.5]\'',' State-gov',' Assoc-voc',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',15,' Germany',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' 7th-8th',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',90,' Greece',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Assoc-voc',' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',80,' Greece',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',70,' Greece',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',70,' Greece',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',60,' Greece',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',55,' Greece',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',50,' Greece',' >50K.'
'\'(41.333333-53.5]\'',' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',40,' Greece',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Greece',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Other-relative',' White',' Female',40,' Greece',' >50K.'
'\'(41.333333-53.5]\'',' Federal-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Haiti',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',40,' Haiti',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',' Black',' Male',40,' Haiti',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male',40,' Haiti',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' 7th-8th',' Married-civ-spouse',' Machine-op-inspct',' Husband',' Black',' Male',35,' Haiti',' >50K.'
'\'(-inf-29.166667]\'',' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Honduras',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Masters',' Married-civ-spouse',' Sales',' Husband',' Asian-Pac-Islander',' Male',40,' Hong',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',40,' Hong',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Prof-school',' Married-spouse-absent',' Craft-repair',' Not-in-family',' White',' Male',48,' Hungary',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',40,' Hungary',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' Hungary',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',70,' India',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Never-married',' Exec-managerial',' Not-in-family',' Other',' Male',60,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Federal-gov',' Masters',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',60,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Never-married',' Adm-clerical',' Not-in-family',' Asian-Pac-Islander',' Male',60,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',50,' India',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',50,' India',' >50K.'
'\'(29.166667-41.333333]\'',' State-gov',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',50,' India',' >50K.'
'\'(41.333333-53.5]\'',' State-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',50,' India',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-spouse-absent',' Craft-repair',' Not-in-family',' Asian-Pac-Islander',' Male',45,' India',' >50K.'
'\'(41.333333-53.5]\'',' Federal-gov',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',' Asian-Pac-Islander',' Male',45,' India',' >50K.'
'\'(53.5-65.666667]\'',' State-gov',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',' Other',' Female',40,' India',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' Other',' Male',40,' India',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Doctorate',' Divorced',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Local-gov',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(41.333333-53.5]\'',' State-gov',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Sales',' Husband',' Asian-Pac-Islander',' Male',40,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-spouse-absent',' Exec-managerial',' Not-in-family',' Asian-Pac-Islander',' Male',35,' India',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Tech-support',' Husband',' Asian-Pac-Islander',' Male',35,' India',' >50K.'
'\'(-inf-29.166667]\'',' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' Other',' Male',70,' Iran',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',45,' Iran',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' Asian-Pac-Islander',' Male',45,' Iran',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Other-service',' Husband',' Other',' Male',40,' Iran',' >50K.'
'\'(-inf-29.166667]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',60,' Ireland',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-spouse-absent',' Exec-managerial',' Not-in-family',' White',' Male',40,' Ireland',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Ireland',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',40,' Ireland',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',37,' Ireland',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',60,' Italy',' >50K.'
'\'(65.666667-77.833333]\'',' Self-emp-inc',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',60,' Italy',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',55,' Italy',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',42,' Italy',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40,' Italy',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',40,' Italy',' >50K.'
'\'(41.333333-53.5]\'',' Private',' 7th-8th',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Italy',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Italy',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',40,' Italy',' >50K.'
'\'(41.333333-53.5]\'',' Federal-gov',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male',55,' Jamaica',' >50K.'
